In una carreggiata extraurbana del tipo rappresentata le corsie interne sono, di norma, riservate al sorpasso;V;GIUSTA;
In una vettura extraurbana del tipo rappresentato si puo sempre marciare per file parallele;F;GIUSTA;
Il conducente deve regolare la velocita in relazione al carico del veicolo;V;GIUSTA;
Il conducente deve regolare la velocita in modo da non costituire pericolo per le persone;V;SBAGLIATA;
Causa probabile di incidenti dovuti alla struttura della strada puo essere ristrettezza della strada;V;GIUSTA;
Causa probabile di incidenti dovuti alla struttura della strada puo essere strada a percorso pianeggiante;F;GIUSTA;
Nel caso in cui la sosta e espressamente vietata da una norma del codice della strada, l'osservanza di tale divieto e comunque condizionata dalla presenza di cartelli segnaletici;F;GIUSTA;
La sosta in corrispondenza degli scivoli o dei raccordi tra i marciapiedi e la carreggiata utilizzati dai veicoli per persone invalide comporta, tra l'altro, la sottrazione di punti dalla patente;V;GIUSTA;
Il semaforo in figura non consente di occupare la corsia indicata con luce rossa a forma di x;V;SBAGLIATA;
Il suono prolungato del fischietto da parte dell'agente preposto al traffico impone ai soli veicoli pesanti di arrestarsi;F;SBAGLIATA;
Il segnale raffigurato indica una strada a senso unico;F;GIUSTA;
Il segnale raffigurato se di colore verde e posto in autostrada;F;SBAGLIATA;
Il delineatore raffigurato indica di svoltare a destra o a sinistra;V;GIUSTA;
Il delineatore raffigurato indica una strada chiusa per lavori in corso;F;GIUSTA;
Nel caso di ingombro della carreggiata per caduta accidentale del carico il conducente deve restare a bordo del veicolo in attesa dei soccorsi;F;SBAGLIATA;
Nel caso di ingombro della carreggiata per caduta accidentale del carico il conducente deve evitare di spostarlo per consentire la ricostruzione corretta dell'accaduto;F;GIUSTA;
Il pannello integrativo raffigurato limita la validita del segnale sotto cui e posto ai giorni festivi e alla fascia oraria indicata;V;GIUSTA;
il segnale raffigurato indica il punto dove termina il divieto di fermata;V;GIUSTA;
Rispetto al veicolo che procede nel senso della freccia, la striscia discontinua in figura consente di effettuare un sorpasso anche superando tutte e due le strisce;V;SBAGLIATA;
 La striscia a zig zag della segnaletica in figura serve agli autobus per facilitare la manovra di accostamento e per ripartire;V;GIUSTA;
La distrazione del conducente non rappresenta un pericolo se si limita a pochi secondi;F;SBAGLIATA;
Lo spazio totale di arresto e pari allo spazio percorso nel tempo di reazione piu quello percorso durante la frenata;V;SBAGLIATA;
Il segnale raffigurato preannuncia la presenza di una barriera doganale ;F;SBAGLIATA;
Il segnale raffigurato preannuncia un'incrocio in cui vale la regola di dare la precedenza solo a destra ;F;SBAGLIATA;
Il segnale raffigurato e un segnale di indicazione;F;GIUSTA;
Il segnale raffigurato preannuncia un incrocio ove non e consentito proseguire diritto;V;SBAGLIATA;
E' vietato utilizzare un autoveicolo sulle strade pubbliche quando non si ha con s� la ricevuta di avvenuto pagamento della tassa di possesso;F;SBAGLIATA;
L'uso di telefono cellulare senza auricolare o viva voce durante la guida comporta una perdita di punti sulla patente;V;SBAGLIATA;
In presenza del segnale raffigurato e vietato superare anche gli autoveicoli di massa complessiva inferiori a 3,5 tonnellate;V;GIUSTA;
Il segnale raffigurato obbliga i veicoli a marciare a meno di 70 metri di distanza l'uno dall'altra;F;GIUSTA;
Il segnale raffigurato preannuncia l'ingresso in una galleria ;F;SBAGLIATA;
Il segnale raffigurato puo essere integrato con pannello con la scritta TORNANTE;V;SBAGLIATA;
Quando si circola nelle zone a velocita controllata inferiore a 30 km/h, non e obbligatorio l�uso del casco;F;SBAGLIATA;
Il casco conserva invariate le sue caratteristiche protettive per periodi lunghissimi, di oltre venti anni;F;GIUSTA;
Durante la marcia, l'uso delle luci anabbaglianti non e consentito nelle gallerie illuminate        ;F;GIUSTA;
La targa posteriore di un autoveicolo deve essere illuminata con una luce bianca        ;V;GIUSTA;
La manovra di sorpasso del tram puo effettuarsi su ambo i lati se la strada e a senso unico e la larghezza della carreggiata lo consente;V;GIUSTA;
E' sempre vietato effettuare la manovra di sorpasso a destra;F;GIUSTA;
Nella situazione rappresentata in figura il tram ha la precedenza rispetto agli altri veicoli;V;GIUSTA;
Nell'incrocio rappresentato in figura il veicolo E ha diritto di precedenza sul veicolo B;V;SBAGLIATA;
