[11001_01];V;In una carreggiata del tipo rappresentato si puo superare anche in curva;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_02];V;La carreggiata del tipo rappresentato e un doppio senso di circolazione;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_03];V;In una carreggiata extraurbana del tipo rappresentata le corsie interne sono, di norma, riservate al sorpasso;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_04];V;In una carreggiata del tipo rappresentato non si puo effettuare l'inversione di marcia;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_05];V;In una carreggiata extraurbana del tipo rappresentata le corsie interne sono, di norma, riservate al sorpasso;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_06];F;In una vettura extraurbana del tipo rappresentato si puo sempre marciare per file parallele;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11001_07];F;In una carreggiata del tipo rappresentato possiamo iniziare un sorpasso anche se il conducente che sta dietro ha gia iniziato la stessa manovra;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11002_01];V;Nella strada rappresentata, per ogni senso di marcia, la corsia di destra e, di norma, dedicata alla marcia ordinaria ;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11002_02];V;La strada rappresentata e composta da tre corsie per ogni senso di marcia;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[11002_03];V;Nella strada rappresentata, per ogni senso di marcia, le corsie di centro e di sinistra sono dedicate, di norma, al sorpasso ;http://informaquiz.it/sites/default/files/QuizPatente_2013/IMG/550.jpg
[21001_01];V;Il conducente deve regolare la velocita in relazione alle caratteristiche del veicolo;
[21001_02];V;Il conducente deve regolare la velocita in relazione allo stato del veicolo;
[21001_03];V;Il conducente deve regolare la velocita in relazione al carico del veicolo;
[21001_04];V;Il conducente deve regolare la velocita in relazione alle caratteristiche della strada;
[21001_05];V;Il conducente deve regolare la velocita in relazione alle condizioni della strada;
[21001_06];V;Il conducente deve regolare la velocita in relazione alle condizioni del traffico;
[21001_07];V;Il conducente deve regolare la velocita in modo da non costituire pericolo di danno alle cose;
[21001_08];V;Il conducente deve regolare la velocita in modo da non costituire pericolo per le persone;
[21001_09];V;Il conducente deve regolare la velocita in modo da non costituire disordine per la circolazione;
[21001_10];V;Il conducente deve regolare la velocita entro i limiti massimi consentiti;
[31001_01];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere ristrettezza della strada;
[31001_02];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere mancata segnalazione degli incroci;
[31001_03];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere mancanza di segnaletica orizzontale;
[31001_04];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere fondo stradale deformato;
[31001_05];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere fondo stradale scivoloso;
[31001_06];V;Causa probabile di incidenti dovuti alla struttura della strada puo essere presenza di strettoie non segnalate;
[31001_07];F;Causa probabile di incidenti dovuti alla struttura della strada puo essere strada suddivisa in carreggiate;
[31001_08];F;Causa probabile di incidenti dovuti alla struttura della strada puo essere strada suddivisa in corsie;
[31001_09];F;Causa probabile di incidenti dovuti alla struttura della strada puo essere carreggiata a senso unico di circolazione;
[31001_10];F;Causa probabile di incidenti dovuti alla struttura della strada puo essere strada a percorso pianeggiante;
